# Airfoil (Joukowski)
# a=1, xi0=-0.1, eta0=0.25, r=1.12805
-2.012883 -0.034137
-2.010417 -0.036251
-2.007819 -0.038302
-2.005088 -0.040288
-2.002224 -0.042209
-1.999225 -0.044065
-1.996093 -0.045856
-1.992826 -0.047579
-1.989424 -0.049236
-1.985887 -0.050826
-1.982214 -0.052348
-1.978405 -0.053801
-1.974459 -0.055185
-1.970376 -0.056500
-1.966155 -0.057745
-1.961797 -0.058921
-1.957300 -0.060025
-1.952665 -0.061059
-1.947890 -0.062021
-1.942976 -0.062912
-1.937921 -0.063730
-1.932727 -0.064476
-1.927391 -0.065150
-1.921914 -0.065750
-1.916296 -0.066278
-1.910535 -0.066731
-1.904632 -0.067111
-1.898586 -0.067417
-1.892396 -0.067649
-1.886062 -0.067807
-1.879585 -0.067890
-1.872962 -0.067898
-1.866195 -0.067831
-1.859281 -0.067690
-1.852222 -0.067473
-1.845017 -0.067182
-1.837665 -0.066815
-1.830165 -0.066374
-1.822518 -0.065857
-1.814723 -0.065265
-1.806780 -0.064599
-1.798687 -0.063857
-1.790446 -0.063040
-1.782054 -0.062149
-1.773513 -0.061184
-1.764821 -0.060144
-1.755979 -0.059029
-1.746985 -0.057841
-1.737840 -0.056579
-1.728543 -0.055244
-1.719093 -0.053836
-1.709491 -0.052355
-1.699736 -0.050802
-1.689827 -0.049176
-1.679765 -0.047480
-1.669549 -0.045712
-1.659178 -0.043873
-1.648653 -0.041964
-1.637972 -0.039986
-1.627137 -0.037939
-1.616146 -0.035824
-1.604999 -0.033640
-1.593696 -0.031390
-1.582237 -0.029073
-1.570621 -0.026691
-1.558849 -0.024243
-1.546919 -0.021732
-1.534832 -0.019157
-1.522588 -0.016520
-1.510187 -0.013822
-1.497628 -0.011063
-1.484911 -0.008244
-1.472036 -0.005366
-1.459003 -0.002431
-1.445813 0.000560
-1.432464 0.003607
-1.418957 0.006709
-1.405292 0.009863
-1.391469 0.013070
-1.377487 0.016327
-1.363348 0.019634
-1.349051 0.022989
-1.334596 0.026391
-1.319984 0.029838
-1.305214 0.033329
-1.290287 0.036864
-1.275203 0.040439
-1.259962 0.044054
-1.244564 0.047707
-1.229011 0.051397
-1.213302 0.055122
-1.197437 0.058880
-1.181417 0.062670
-1.165243 0.066490
-1.148915 0.070338
-1.132434 0.074213
-1.115800 0.078113
-1.099014 0.082036
-1.082076 0.085980
-1.064987 0.089943
-1.047748 0.093923
-1.030360 0.097919
-1.012824 0.101929
-0.995140 0.105950
-0.977310 0.109980
-0.959333 0.114018
