# circle in zeta-plane case 8
# xi0 = -0.1, eta0 = 0.2, r = 1.11803
# xi   eta   xi/a   eta/a
-0.245933 -0.908469 -0.245933 -0.908469
-0.236254 -0.909700 -0.236254 -0.909700
-0.226565 -0.910847 -0.226565 -0.910847
-0.216866 -0.911909 -0.216866 -0.911909
-0.207159 -0.912887 -0.207159 -0.912887
-0.197443 -0.913780 -0.197443 -0.913780
-0.187720 -0.914587 -0.187720 -0.914587
-0.177990 -0.915311 -0.177990 -0.915311
-0.168254 -0.915949 -0.168254 -0.915949
-0.158513 -0.916502 -0.158513 -0.916502
-0.148768 -0.916970 -0.148768 -0.916970
-0.139019 -0.917353 -0.139019 -0.917353
-0.129267 -0.917651 -0.129267 -0.917651
-0.119512 -0.917864 -0.119512 -0.917864
-0.109757 -0.917991 -0.109757 -0.917991
-0.100000 -0.918034 -0.100000 -0.918034
-0.090243 -0.917991 -0.090243 -0.917991
-0.080488 -0.917864 -0.080488 -0.917864
-0.070733 -0.917651 -0.070733 -0.917651
-0.060981 -0.917353 -0.060981 -0.917353
-0.051232 -0.916970 -0.051232 -0.916970
-0.041487 -0.916502 -0.041487 -0.916502
-0.031746 -0.915949 -0.031746 -0.915949
-0.022010 -0.915311 -0.022010 -0.915311
-0.012280 -0.914587 -0.012280 -0.914587
-0.002557 -0.913780 -0.002557 -0.913780
0.007159 -0.912887 0.007159 -0.912887
0.016866 -0.911909 0.016866 -0.911909
0.026565 -0.910847 0.026565 -0.910847
0.036254 -0.909700 0.036254 -0.909700
0.045933 -0.908469 0.045933 -0.908469
0.055600 -0.907153 0.055600 -0.907153
0.065256 -0.905753 0.065256 -0.905753
0.074899 -0.904269 0.074899 -0.904269
0.084529 -0.902701 0.084529 -0.902701
0.094145 -0.901049 0.094145 -0.901049
0.103746 -0.899312 0.103746 -0.899312
0.113331 -0.897493 0.113331 -0.897493
0.122900 -0.895589 0.122900 -0.895589
0.132452 -0.893602 0.132452 -0.893602
0.141987 -0.891532 0.141987 -0.891532
0.151503 -0.889379 0.151503 -0.889379
0.161000 -0.887143 0.161000 -0.887143
0.170477 -0.884824 0.170477 -0.884824
0.179933 -0.882422 0.179933 -0.882422
0.189368 -0.879938 0.189368 -0.879938
0.198782 -0.877372 0.198782 -0.877372
0.208172 -0.874723 0.208172 -0.874723
0.217539 -0.871993 0.217539 -0.871993
0.226882 -0.869181 0.226882 -0.869181
0.236199 -0.866288 0.236199 -0.866288
0.245492 -0.863314 0.245492 -0.863314
0.254757 -0.860258 0.254757 -0.860258
0.263996 -0.857122 0.263996 -0.857122
0.273207 -0.853905 0.273207 -0.853905
0.282390 -0.850608 0.282390 -0.850608
0.291544 -0.847231 0.291544 -0.847231
0.300668 -0.843775 0.300668 -0.843775
0.309761 -0.840238 0.309761 -0.840238
0.318823 -0.836623 0.318823 -0.836623
