# circle in zeta-plane case 5
# xi0 = -0.2, eta0 = 0, r = 1.2
# xi   eta   xi/a   eta/a
-0.550846 1.147566 -0.550846 1.147566
-0.560847 1.144460 -0.560847 1.144460
-0.570820 1.141268 -0.570820 1.141268
-0.580766 1.137988 -0.580766 1.137988
-0.590682 1.134622 -0.590682 1.134622
-0.600568 1.131170 -0.600568 1.131170
-0.610424 1.127631 -0.610424 1.127631
-0.620249 1.124007 -0.620249 1.124007
-0.630042 1.120297 -0.630042 1.120297
-0.639801 1.116501 -0.639801 1.116501
-0.649528 1.112621 -0.649528 1.112621
-0.659220 1.108655 -0.659220 1.108655
-0.668877 1.104606 -0.668877 1.104606
-0.678499 1.100472 -0.678499 1.100472
-0.688084 1.096255 -0.688084 1.096255
-0.697632 1.091954 -0.697632 1.091954
-0.707142 1.087569 -0.707142 1.087569
-0.716613 1.083102 -0.716613 1.083102
-0.726045 1.078553 -0.726045 1.078553
-0.735437 1.073921 -0.735437 1.073921
-0.744789 1.069208 -0.744789 1.069208
-0.754098 1.064413 -0.754098 1.064413
-0.763366 1.059537 -0.763366 1.059537
-0.772591 1.054581 -0.772591 1.054581
-0.781772 1.049544 -0.781772 1.049544
-0.790908 1.044427 -0.790908 1.044427
-0.800000 1.039230 -0.800000 1.039230
-0.809046 1.033955 -0.809046 1.033955
-0.818046 1.028601 -0.818046 1.028601
-0.826998 1.023168 -0.826998 1.023168
-0.835903 1.017658 -0.835903 1.017658
-0.844760 1.012070 -0.844760 1.012070
-0.853567 1.006405 -0.853567 1.006405
-0.862324 1.000663 -0.862324 1.000663
-0.871031 0.994845 -0.871031 0.994845
-0.879687 0.988951 -0.879687 0.988951
-0.888292 0.982982 -0.888292 0.982982
-0.896844 0.976939 -0.896844 0.976939
-0.905342 0.970820 -0.905342 0.970820
-0.913787 0.964628 -0.913787 0.964628
-0.922178 0.958363 -0.922178 0.958363
-0.930514 0.952024 -0.930514 0.952024
-0.938794 0.945613 -0.938794 0.945613
-0.947018 0.939130 -0.947018 0.939130
-0.955184 0.932575 -0.955184 0.932575
-0.963294 0.925950 -0.963294 0.925950
-0.971345 0.919253 -0.971345 0.919253
-0.979338 0.912487 -0.979338 0.912487
-0.987271 0.905651 -0.987271 0.905651
-0.995144 0.898747 -0.995144 0.898747
-1.002957 0.891774 -1.002957 0.891774
