# Joukowski airfoil case 7
# a = 1, xi0 = -0.1, eta0 = 0.1, r = 1.10454
# x   y   x/a   y/a
-1.307848 0.340351 -1.307848 0.340351
-1.320035 0.338293 -1.320035 0.338293
-1.332140 0.336202 -1.332140 0.336202
-1.344162 0.334077 -1.344162 0.334077
-1.356102 0.331919 -1.356102 0.331919
-1.367958 0.329728 -1.367958 0.329728
-1.379729 0.327505 -1.379729 0.327505
-1.391415 0.325250 -1.391415 0.325250
-1.403015 0.322962 -1.403015 0.322962
-1.414529 0.320644 -1.414529 0.320644
-1.425956 0.318295 -1.425956 0.318295
-1.437295 0.315914 -1.437295 0.315914
-1.448546 0.313504 -1.448546 0.313504
-1.459707 0.311064 -1.459707 0.311064
-1.470779 0.308594 -1.470779 0.308594
-1.481760 0.306096 -1.481760 0.306096
-1.492651 0.303568 -1.492651 0.303568
-1.503449 0.301013 -1.503449 0.301013
-1.514156 0.298429 -1.514156 0.298429
-1.524769 0.295818 -1.524769 0.295818
-1.535289 0.293180 -1.535289 0.293180
-1.545715 0.290515 -1.545715 0.290515
-1.556046 0.287824 -1.556046 0.287824
-1.566281 0.285108 -1.566281 0.285108
-1.576421 0.282366 -1.576421 0.282366
-1.586464 0.279599 -1.586464 0.279599
-1.596409 0.276808 -1.596409 0.276808
-1.606257 0.273993 -1.606257 0.273993
-1.616006 0.271154 -1.616006 0.271154
-1.625657 0.268292 -1.625657 0.268292
-1.635208 0.265407 -1.635208 0.265407
-1.644659 0.262501 -1.644659 0.262501
-1.654009 0.259573 -1.654009 0.259573
-1.663257 0.256623 -1.663257 0.256623
-1.672404 0.253653 -1.672404 0.253653
-1.681449 0.250662 -1.681449 0.250662
-1.690390 0.247652 -1.690390 0.247652
-1.699228 0.244622 -1.699228 0.244622
-1.707962 0.241574 -1.707962 0.241574
-1.716592 0.238507 -1.716592 0.238507
-1.725116 0.235423 -1.725116 0.235423
-1.733534 0.232321 -1.733534 0.232321
-1.741847 0.229202 -1.741847 0.229202
-1.750052 0.226067 -1.750052 0.226067
-1.758150 0.222917 -1.758150 0.222917
-1.766141 0.219750 -1.766141 0.219750
-1.774023 0.216570 -1.774023 0.216570
-1.781797 0.213375 -1.781797 0.213375
-1.789461 0.210166 -1.789461 0.210166
-1.797015 0.206944 -1.797015 0.206944
-1.804459 0.203709 -1.804459 0.203709
-1.811793 0.200462 -1.811793 0.200462
-1.819015 0.197204 -1.819015 0.197204
-1.826125 0.193934 -1.826125 0.193934
-1.833124 0.190654 -1.833124 0.190654
-1.840009 0.187364 -1.840009 0.187364
-1.846782 0.184064 -1.846782 0.184064
-1.853441 0.180755 -1.853441 0.180755
-1.859986 0.177438 -1.859986 0.177438
-1.866416 0.174113 -1.866416 0.174113
-1.872731 0.170781 -1.872731 0.170781
-1.878931 0.167442 -1.878931 0.167442
-1.885016 0.164097 -1.885016 0.164097
-1.890984 0.160746 -1.890984 0.160746
-1.896835 0.157390 -1.896835 0.157390
-1.902570 0.154029 -1.902570 0.154029
-1.908186 0.150664 -1.908186 0.150664
-1.913685 0.147296 -1.913685 0.147296
-1.919066 0.143925 -1.919066 0.143925
-1.924328 0.140552 -1.924328 0.140552
-1.929471 0.137176 -1.929471 0.137176
-1.934494 0.133800 -1.934494 0.133800
-1.939397 0.130423 -1.939397 0.130423
-1.944181 0.127045 -1.944181 0.127045
-1.948843 0.123668 -1.948843 0.123668
-1.953385 0.120292 -1.953385 0.120292
-1.957805 0.116918 -1.957805 0.116918
-1.962103 0.113546 -1.962103 0.113546
-1.966280 0.110176 -1.966280 0.110176
-1.970334 0.106810 -1.970334 0.106810
-1.974265 0.103447 -1.974265 0.103447
-1.978073 0.100089 -1.978073 0.100089
-1.981757 0.096735 -1.981757 0.096735
-1.985318 0.093387 -1.985318 0.093387
-1.988754 0.090045 -1.988754 0.090045
-1.992067 0.086710 -1.992067 0.086710
-1.995254 0.083382 -1.995254 0.083382
-1.998316 0.080061 -1.998316 0.080061
-2.001253 0.076749 -2.001253 0.076749
-2.004065 0.073445 -2.004065 0.073445
-2.006750 0.070151 -2.006750 0.070151
-2.009309 0.066867 -2.009309 0.066867
-2.011742 0.063593 -2.011742 0.063593
-2.014047 0.060330 -2.014047 0.060330
-2.016226 0.057079 -2.016226 0.057079
-2.018277 0.053840 -2.018277 0.053840
-2.020201 0.050613 -2.020201 0.050613
-2.021997 0.047400 -2.021997 0.047400
-2.023664 0.044200 -2.023664 0.044200
-2.025204 0.041015 -2.025204 0.041015
-2.026614 0.037844 -2.026614 0.037844
-2.027896 0.034689 -2.027896 0.034689
-2.029048 0.031549 -2.029048 0.031549
-2.030072 0.028426 -2.030072 0.028426
-2.030966 0.025320 -2.030966 0.025320
-2.031730 0.022231 -2.031730 0.022231
-2.032364 0.019161 -2.032364 0.019161
-2.032867 0.016108 -2.032867 0.016108
-2.033241 0.013075 -2.033241 0.013075
-2.033484 0.010061 -2.033484 0.010061
-2.033596 0.007068 -2.033596 0.007068
-2.033577 0.004094 -2.033577 0.004094
-2.033427 0.001142 -2.033427 0.001142
-2.033146 -0.001788 -2.033146 -0.001788
-2.032733 -0.004697 -2.032733 -0.004697
-2.032189 -0.007583 -2.032189 -0.007583
-2.031513 -0.010446 -2.031513 -0.010446
-2.030705 -0.013286 -2.030705 -0.013286
-2.029764 -0.016102 -2.029764 -0.016102
-2.028692 -0.018893 -2.028692 -0.018893
-2.027487 -0.021659 -2.027487 -0.021659
-2.026150 -0.024400 -2.026150 -0.024400
-2.024680 -0.027115 -2.024680 -0.027115
-2.023078 -0.029804 -2.023078 -0.029804
-2.021342 -0.032466 -2.021342 -0.032466
-2.019474 -0.035101 -2.019474 -0.035101
-2.017473 -0.037708 -2.017473 -0.037708
-2.015338 -0.040287 -2.015338 -0.040287
-2.013070 -0.042838 -2.013070 -0.042838
-2.010669 -0.045359 -2.010669 -0.045359
-2.008135 -0.047852 -2.008135 -0.047852
-2.005467 -0.050314 -2.005467 -0.050314
-2.002665 -0.052746 -2.002665 -0.052746
-1.999730 -0.055148 -1.999730 -0.055148
-1.996662 -0.057518 -1.996662 -0.057518
-1.993459 -0.059857 -1.993459 -0.059857
-1.990123 -0.062165 -1.990123 -0.062165
-1.986654 -0.064440 -1.986654 -0.064440
-1.983050 -0.066682 -1.983050 -0.066682
-1.979313 -0.068892 -1.979313 -0.068892
-1.975441 -0.071068 -1.975441 -0.071068
-1.971436 -0.073211 -1.971436 -0.073211
-1.967297 -0.075319 -1.967297 -0.075319
-1.963024 -0.077393 -1.963024 -0.077393
-1.958618 -0.079433 -1.958618 -0.079433
-1.954077 -0.081437 -1.954077 -0.081437
-1.949403 -0.083406 -1.949403 -0.083406
-1.944595 -0.085340 -1.944595 -0.085340
-1.939653 -0.087237 -1.939653 -0.087237
-1.934578 -0.089098 -1.934578 -0.089098
-1.929368 -0.090922 -1.929368 -0.090922
-1.924026 -0.092710 -1.924026 -0.092710
-1.918549 -0.094460 -1.918549 -0.094460
-1.912939 -0.096173 -1.912939 -0.096173
-1.907196 -0.097848 -1.907196 -0.097848
-1.901320 -0.099486 -1.901320 -0.099486
-1.895310 -0.101085 -1.895310 -0.101085
-1.889167 -0.102645 -1.889167 -0.102645
-1.882891 -0.104167 -1.882891 -0.104167
-1.876482 -0.105650 -1.876482 -0.105650
-1.869940 -0.107094 -1.869940 -0.107094
-1.863265 -0.108498 -1.863265 -0.108498
-1.856458 -0.109863 -1.856458 -0.109863
-1.849518 -0.111188 -1.849518 -0.111188
-1.842447 -0.112474 -1.842447 -0.112474
-1.835242 -0.113719 -1.835242 -0.113719
-1.827906 -0.114924 -1.827906 -0.114924
-1.820438 -0.116088 -1.820438 -0.116088
-1.812839 -0.117212 -1.812839 -0.117212
-1.805108 -0.118296 -1.805108 -0.118296
-1.797245 -0.119338 -1.797245 -0.119338
-1.789252 -0.120340 -1.789252 -0.120340
-1.781127 -0.121300 -1.781127 -0.121300
-1.772872 -0.122219 -1.772872 -0.122219
-1.764486 -0.123098 -1.764486 -0.123098
-1.755970 -0.123934 -1.755970 -0.123934
-1.747325 -0.124730 -1.747325 -0.124730
-1.738549 -0.125484 -1.738549 -0.125484
-1.729644 -0.126196 -1.729644 -0.126196
-1.720609 -0.126867 -1.720609 -0.126867
-1.711445 -0.127497 -1.711445 -0.127497
-1.702153 -0.128084 -1.702153 -0.128084
-1.692732 -0.128631 -1.692732 -0.128631
-1.683184 -0.129135 -1.683184 -0.129135
-1.673507 -0.129598 -1.673507 -0.129598
-1.663703 -0.130020 -1.663703 -0.130020
-1.653771 -0.130400 -1.653771 -0.130400
-1.643713 -0.130739 -1.643713 -0.130739
-1.633528 -0.131036 -1.633528 -0.131036
-1.623216 -0.131291 -1.623216 -0.131291
-1.612779 -0.131506 -1.612779 -0.131506
-1.602217 -0.131679 -1.602217 -0.131679
-1.591529 -0.131811 -1.591529 -0.131811
-1.580717 -0.131902 -1.580717 -0.131902
-1.569780 -0.131953 -1.569780 -0.131953
-1.558719 -0.131962 -1.558719 -0.131962
