# Joukowski airfoil case 3
# a = 1, xi0 = 0, eta0 = 0.3, r = 1.04403
# x   y   x/a   y/a
-0.653590 0.540730 -0.653590 0.540730
-0.666987 0.538254 -0.666987 0.538254
-0.680352 0.535733 -0.680352 0.535733
-0.693684 0.533166 -0.693684 0.533166
-0.706982 0.530553 -0.706982 0.530553
-0.720247 0.527896 -0.720247 0.527896
-0.733478 0.525195 -0.733478 0.525195
-0.746673 0.522449 -0.746673 0.522449
-0.759833 0.519660 -0.759833 0.519660
-0.772956 0.516829 -0.772956 0.516829
-0.786043 0.513954 -0.786043 0.513954
-0.799091 0.511037 -0.799091 0.511037
-0.812102 0.508079 -0.812102 0.508079
-0.825073 0.505080 -0.825073 0.505080
-0.838005 0.502039 -0.838005 0.502039
-0.850897 0.498958 -0.850897 0.498958
-0.863748 0.495838 -0.863748 0.495838
-0.876558 0.492678 -0.876558 0.492678
-0.889326 0.489480 -0.889326 0.489480
-0.902051 0.486243 -0.902051 0.486243
-0.914733 0.482968 -0.914733 0.482968
-0.927371 0.479656 -0.927371 0.479656
-0.939965 0.476307 -0.939965 0.476307
-0.952514 0.472922 -0.952514 0.472922
-0.965017 0.469502 -0.965017 0.469502
-0.977474 0.466046 -0.977474 0.466046
-0.989884 0.462556 -0.989884 0.462556
-1.002247 0.459031 -1.002247 0.459031
-1.014562 0.455474 -1.014562 0.455474
-1.026828 0.451883 -1.026828 0.451883
-1.039045 0.448261 -1.039045 0.448261
-1.051212 0.444606 -1.051212 0.444606
-1.063328 0.440921 -1.063328 0.440921
-1.075394 0.437205 -1.075394 0.437205
-1.087408 0.433460 -1.087408 0.433460
-1.099370 0.429685 -1.099370 0.429685
-1.111279 0.425882 -1.111279 0.425882
-1.123135 0.422051 -1.123135 0.422051
-1.134937 0.418192 -1.134937 0.418192
-1.146685 0.414307 -1.146685 0.414307
-1.158377 0.410396 -1.158377 0.410396
-1.170014 0.406460 -1.170014 0.406460
-1.181595 0.402499 -1.181595 0.402499
-1.193119 0.398514 -1.193119 0.398514
-1.204585 0.394506 -1.204585 0.394506
-1.215994 0.390476 -1.215994 0.390476
-1.227344 0.386424 -1.227344 0.386424
-1.238635 0.382350 -1.238635 0.382350
-1.249867 0.378256 -1.249867 0.378256
-1.261038 0.374143 -1.261038 0.374143
-1.272149 0.370010 -1.272149 0.370010
-1.283198 0.365860 -1.283198 0.365860
-1.294186 0.361692 -1.294186 0.361692
-1.305111 0.357507 -1.305111 0.357507
-1.315973 0.353306 -1.315973 0.353306
-1.326772 0.349090 -1.326772 0.349090
-1.337507 0.344860 -1.337507 0.344860
-1.348177 0.340615 -1.348177 0.340615
-1.358782 0.336359 -1.358782 0.336359
-1.369321 0.332090 -1.369321 0.332090
-1.379794 0.327809 -1.379794 0.327809
