# circle in zeta-plane case 3
# xi0 = 0, eta0 = 0.3, r = 1.04403
# xi   eta   xi/a   eta/a
-0.926066 -0.182080 -0.926066 -0.182080
-0.921824 -0.190143 -0.921824 -0.190143
-0.917512 -0.198168 -0.917512 -0.198168
-0.913130 -0.206156 -0.913130 -0.206156
-0.908678 -0.214105 -0.908678 -0.214105
-0.904157 -0.222015 -0.904157 -0.222015
-0.899567 -0.229886 -0.899567 -0.229886
-0.894909 -0.237716 -0.894909 -0.237716
-0.890182 -0.245505 -0.890182 -0.245505
-0.885388 -0.253252 -0.885388 -0.253252
-0.880527 -0.260957 -0.880527 -0.260957
-0.875598 -0.268620 -0.875598 -0.268620
-0.870602 -0.276239 -0.870602 -0.276239
-0.865541 -0.283815 -0.865541 -0.283815
-0.860413 -0.291345 -0.860413 -0.291345
-0.855220 -0.298831 -0.855220 -0.298831
-0.849962 -0.306272 -0.849962 -0.306272
-0.844639 -0.313666 -0.844639 -0.313666
-0.839251 -0.321013 -0.839251 -0.321013
-0.833800 -0.328313 -0.833800 -0.328313
-0.828285 -0.335566 -0.828285 -0.335566
-0.822707 -0.342769 -0.822707 -0.342769
-0.817067 -0.349924 -0.817067 -0.349924
-0.811364 -0.357030 -0.811364 -0.357030
-0.805600 -0.364085 -0.805600 -0.364085
-0.799774 -0.371090 -0.799774 -0.371090
-0.793887 -0.378044 -0.793887 -0.378044
-0.787940 -0.384946 -0.787940 -0.384946
-0.781933 -0.391796 -0.781933 -0.391796
-0.775866 -0.398593 -0.775866 -0.398593
-0.769740 -0.405337 -0.769740 -0.405337
-0.763556 -0.412027 -0.763556 -0.412027
-0.757313 -0.418663 -0.757313 -0.418663
-0.751013 -0.425245 -0.751013 -0.425245
-0.744655 -0.431771 -0.744655 -0.431771
-0.738241 -0.438241 -0.738241 -0.438241
-0.731771 -0.444655 -0.731771 -0.444655
-0.725245 -0.451013 -0.725245 -0.451013
-0.718663 -0.457313 -0.718663 -0.457313
-0.712027 -0.463556 -0.712027 -0.463556
-0.705337 -0.469740 -0.705337 -0.469740
-0.698593 -0.475866 -0.698593 -0.475866
-0.691796 -0.481933 -0.691796 -0.481933
-0.684946 -0.487940 -0.684946 -0.487940
-0.678044 -0.493887 -0.678044 -0.493887
-0.671090 -0.499774 -0.671090 -0.499774
-0.664085 -0.505600 -0.664085 -0.505600
-0.657030 -0.511364 -0.657030 -0.511364
-0.649924 -0.517067 -0.649924 -0.517067
-0.642769 -0.522707 -0.642769 -0.522707
-0.635566 -0.528285 -0.635566 -0.528285
-0.628313 -0.533800 -0.628313 -0.533800
-0.621013 -0.539251 -0.621013 -0.539251
-0.613666 -0.544639 -0.613666 -0.544639
-0.606272 -0.549962 -0.606272 -0.549962
-0.598831 -0.555220 -0.598831 -0.555220
-0.591345 -0.560413 -0.591345 -0.560413
-0.583815 -0.565541 -0.583815 -0.565541
-0.576239 -0.570602 -0.576239 -0.570602
-0.568620 -0.575598 -0.568620 -0.575598
-0.560957 -0.580527 -0.560957 -0.580527
-0.553252 -0.585388 -0.553252 -0.585388
-0.545505 -0.590182 -0.545505 -0.590182
-0.537716 -0.594909 -0.537716 -0.594909
-0.529886 -0.599567 -0.529886 -0.599567
-0.522015 -0.604157 -0.522015 -0.604157
-0.514105 -0.608678 -0.514105 -0.608678
-0.506156 -0.613130 -0.506156 -0.613130
-0.498168 -0.617512 -0.498168 -0.617512
-0.490143 -0.621824 -0.490143 -0.621824
-0.482080 -0.626066 -0.482080 -0.626066
-0.473980 -0.630238 -0.473980 -0.630238
-0.465844 -0.634339 -0.465844 -0.634339
-0.457673 -0.638369 -0.457673 -0.638369
-0.449467 -0.642327 -0.449467 -0.642327
-0.441226 -0.646213 -0.441226 -0.646213
-0.432952 -0.650027 -0.432952 -0.650027
-0.424646 -0.653769 -0.424646 -0.653769
-0.416306 -0.657439 -0.416306 -0.657439
-0.407935 -0.661035 -0.407935 -0.661035
-0.399533 -0.664559 -0.399533 -0.664559
-0.391101 -0.668008 -0.391101 -0.668008
-0.382639 -0.671384 -0.382639 -0.671384
-0.374147 -0.674687 -0.374147 -0.674687
-0.365627 -0.677914 -0.365627 -0.677914
-0.357080 -0.681068 -0.357080 -0.681068
-0.348505 -0.684147 -0.348505 -0.684147
-0.339903 -0.687150 -0.339903 -0.687150
-0.331276 -0.690079 -0.331276 -0.690079
-0.322623 -0.692932 -0.322623 -0.692932
-0.313946 -0.695710 -0.313946 -0.695710
-0.305245 -0.698411 -0.305245 -0.698411
-0.296521 -0.701037 -0.296521 -0.701037
-0.287774 -0.703587 -0.287774 -0.703587
-0.279005 -0.706060 -0.279005 -0.706060
-0.270215 -0.708456 -0.270215 -0.708456
-0.261404 -0.710776 -0.261404 -0.710776
-0.252574 -0.713018 -0.252574 -0.713018
-0.243724 -0.715184 -0.243724 -0.715184
-0.234856 -0.717272 -0.234856 -0.717272
-0.225970 -0.719283 -0.225970 -0.719283
-0.217066 -0.721216 -0.217066 -0.721216
-0.208146 -0.723071 -0.208146 -0.723071
-0.199210 -0.724849 -0.199210 -0.724849
-0.190259 -0.726548 -0.190259 -0.726548
-0.181294 -0.728169 -0.181294 -0.728169
-0.172315 -0.729712 -0.172315 -0.729712
-0.163322 -0.731177 -0.163322 -0.731177
-0.154318 -0.732563 -0.154318 -0.732563
-0.145301 -0.733870 -0.145301 -0.733870
-0.136273 -0.735099 -0.136273 -0.735099
-0.127235 -0.736249 -0.127235 -0.736249
-0.118188 -0.737319 -0.118188 -0.737319
-0.109131 -0.738311 -0.109131 -0.738311
-0.100066 -0.739224 -0.100066 -0.739224
-0.090993 -0.740058 -0.090993 -0.740058
-0.081914 -0.740812 -0.081914 -0.740812
-0.072828 -0.741487 -0.072828 -0.741487
-0.063737 -0.742083 -0.063737 -0.742083
-0.054640 -0.742600 -0.054640 -0.742600
-0.045540 -0.743037 -0.045540 -0.743037
-0.036436 -0.743395 -0.036436 -0.743395
-0.027330 -0.743673 -0.027330 -0.743673
-0.018221 -0.743872 -0.018221 -0.743872
-0.009111 -0.743991 -0.009111 -0.743991
-0.000000 -0.744031 -0.000000 -0.744031
0.009111 -0.743991 0.009111 -0.743991
0.018221 -0.743872 0.018221 -0.743872
0.027330 -0.743673 0.027330 -0.743673
0.036436 -0.743395 0.036436 -0.743395
0.045540 -0.743037 0.045540 -0.743037
0.054640 -0.742600 0.054640 -0.742600
0.063737 -0.742083 0.063737 -0.742083
0.072828 -0.741487 0.072828 -0.741487
0.081914 -0.740812 0.081914 -0.740812
0.090993 -0.740058 0.090993 -0.740058
0.100066 -0.739224 0.100066 -0.739224
0.109131 -0.738311 0.109131 -0.738311
0.118188 -0.737319 0.118188 -0.737319
0.127235 -0.736249 0.127235 -0.736249
0.136273 -0.735099 0.136273 -0.735099
0.145301 -0.733870 0.145301 -0.733870
0.154318 -0.732563 0.154318 -0.732563
0.163322 -0.731177 0.163322 -0.731177
0.172315 -0.729712 0.172315 -0.729712
0.181294 -0.728169 0.181294 -0.728169
0.190259 -0.726548 0.190259 -0.726548
0.199210 -0.724849 0.199210 -0.724849
0.208146 -0.723071 0.208146 -0.723071
0.217066 -0.721216 0.217066 -0.721216
0.225970 -0.719283 0.225970 -0.719283
0.234856 -0.717272 0.234856 -0.717272
0.243724 -0.715184 0.243724 -0.715184
0.252574 -0.713018 0.252574 -0.713018
0.261404 -0.710776 0.261404 -0.710776
0.270215 -0.708456 0.270215 -0.708456
0.279005 -0.706060 0.279005 -0.706060
0.287774 -0.703587 0.287774 -0.703587
0.296521 -0.701037 0.296521 -0.701037
0.305245 -0.698411 0.305245 -0.698411
0.313946 -0.695710 0.313946 -0.695710
0.322623 -0.692932 0.322623 -0.692932
0.331276 -0.690079 0.331276 -0.690079
0.339903 -0.687150 0.339903 -0.687150
0.348505 -0.684147 0.348505 -0.684147
0.357080 -0.681068 0.357080 -0.681068
0.365627 -0.677914 0.365627 -0.677914
0.374147 -0.674687 0.374147 -0.674687
0.382639 -0.671384 0.382639 -0.671384
0.391101 -0.668008 0.391101 -0.668008
0.399533 -0.664559 0.399533 -0.664559
0.407935 -0.661035 0.407935 -0.661035
0.416306 -0.657439 0.416306 -0.657439
0.424646 -0.653769 0.424646 -0.653769
0.432952 -0.650027 0.432952 -0.650027
0.441226 -0.646213 0.441226 -0.646213
0.449467 -0.642327 0.449467 -0.642327
0.457673 -0.638369 0.457673 -0.638369
0.465844 -0.634339 0.465844 -0.634339
0.473980 -0.630238 0.473980 -0.630238
0.482080 -0.626066 0.482080 -0.626066
0.490143 -0.621824 0.490143 -0.621824
0.498168 -0.617512 0.498168 -0.617512
0.506156 -0.613130 0.506156 -0.613130
0.514105 -0.608678 0.514105 -0.608678
0.522015 -0.604157 0.522015 -0.604157
0.529886 -0.599567 0.529886 -0.599567
0.537716 -0.594909 0.537716 -0.594909
0.545505 -0.590182 0.545505 -0.590182
0.553252 -0.585388 0.553252 -0.585388
0.560957 -0.580527 0.560957 -0.580527
0.568620 -0.575598 0.568620 -0.575598
0.576239 -0.570602 0.576239 -0.570602
0.583815 -0.565541 0.583815 -0.565541
0.591345 -0.560413 0.591345 -0.560413
0.598831 -0.555220 0.598831 -0.555220
0.606272 -0.549962 0.606272 -0.549962
0.613666 -0.544639 0.613666 -0.544639
0.621013 -0.539251 0.621013 -0.539251
0.628313 -0.533800 0.628313 -0.533800
0.635566 -0.528285 0.635566 -0.528285
0.642769 -0.522707 0.642769 -0.522707
0.649924 -0.517067 0.649924 -0.517067
0.657030 -0.511364 0.657030 -0.511364
0.664085 -0.505600 0.664085 -0.505600
0.671090 -0.499774 0.671090 -0.499774
0.678044 -0.493887 0.678044 -0.493887
0.684946 -0.487940 0.684946 -0.487940
0.691796 -0.481933 0.691796 -0.481933
0.698593 -0.475866 0.698593 -0.475866
0.705337 -0.469740 0.705337 -0.469740
