# Joukowski airfoil case 4
# a = 1, xi0 = -0.1, eta0 = 0, r = 1.1
# x   y   x/a   y/a
-0.890003 0.236564 -0.890003 0.236564
-0.905235 0.236816 -0.905235 0.236816
-0.920396 0.237035 -0.920396 0.237035
-0.935486 0.237222 -0.935486 0.237222
-0.950503 0.237376 -0.950503 0.237376
-0.965446 0.237497 -0.965446 0.237497
-0.980315 0.237586 -0.980315 0.237586
-0.995109 0.237642 -0.995109 0.237642
-1.009827 0.237664 -1.009827 0.237664
-1.024467 0.237654 -1.024467 0.237654
-1.039030 0.237610 -1.039030 0.237610
-1.053515 0.237533 -1.053515 0.237533
-1.067919 0.237423 -1.067919 0.237423
-1.082244 0.237279 -1.082244 0.237279
-1.096487 0.237101 -1.096487 0.237101
-1.110648 0.236890 -1.110648 0.236890
-1.124727 0.236645 -1.124727 0.236645
-1.138722 0.236366 -1.138722 0.236366
-1.152632 0.236054 -1.152632 0.236054
-1.166458 0.235708 -1.166458 0.235708
-1.180197 0.235328 -1.180197 0.235328
-1.193850 0.234914 -1.193850 0.234914
-1.207415 0.234466 -1.207415 0.234466
-1.220891 0.233985 -1.220891 0.233985
-1.234279 0.233469 -1.234279 0.233469
-1.247577 0.232920 -1.247577 0.232920
-1.260784 0.232336 -1.260784 0.232336
-1.273900 0.231719 -1.273900 0.231719
-1.286924 0.231069 -1.286924 0.231069
-1.299856 0.230384 -1.299856 0.230384
-1.312693 0.229666 -1.312693 0.229666
-1.325437 0.228914 -1.325437 0.228914
-1.338086 0.228128 -1.338086 0.228128
-1.350639 0.227309 -1.350639 0.227309
-1.363096 0.226456 -1.363096 0.226456
-1.375455 0.225570 -1.375455 0.225570
-1.387718 0.224650 -1.387718 0.224650
-1.399881 0.223697 -1.399881 0.223697
-1.411946 0.222711 -1.411946 0.222711
-1.423912 0.221692 -1.423912 0.221692
-1.435776 0.220640 -1.435776 0.220640
-1.447540 0.219556 -1.447540 0.219556
-1.459203 0.218438 -1.459203 0.218438
-1.470763 0.217288 -1.470763 0.217288
-1.482220 0.216105 -1.482220 0.216105
-1.493574 0.214890 -1.493574 0.214890
-1.504824 0.213643 -1.504824 0.213643
-1.515969 0.212364 -1.515969 0.212364
-1.527008 0.211053 -1.527008 0.211053
-1.537942 0.209710 -1.537942 0.209710
-1.548770 0.208335 -1.548770 0.208335
-1.559490 0.206930 -1.559490 0.206930
-1.570102 0.205493 -1.570102 0.205493
-1.580607 0.204025 -1.580607 0.204025
-1.591003 0.202526 -1.591003 0.202526
-1.601289 0.200997 -1.601289 0.200997
-1.611466 0.199437 -1.611466 0.199437
-1.621532 0.197847 -1.621532 0.197847
-1.631487 0.196227 -1.631487 0.196227
-1.641331 0.194577 -1.641331 0.194577
-1.651062 0.192898 -1.651062 0.192898
-1.660681 0.191189 -1.660681 0.191189
-1.670188 0.189452 -1.670188 0.189452
-1.679580 0.187685 -1.679580 0.187685
-1.688859 0.185890 -1.688859 0.185890
-1.698023 0.184066 -1.698023 0.184066
-1.707073 0.182215 -1.707073 0.182215
-1.716006 0.180336 -1.716006 0.180336
-1.724824 0.178429 -1.724824 0.178429
-1.733526 0.176495 -1.733526 0.176495
-1.742110 0.174533 -1.742110 0.174533
-1.750578 0.172546 -1.750578 0.172546
-1.758927 0.170531 -1.758927 0.170531
-1.767159 0.168491 -1.767159 0.168491
-1.775272 0.166425 -1.775272 0.166425
-1.783265 0.164333 -1.783265 0.164333
-1.791140 0.162216 -1.791140 0.162216
-1.798894 0.160074 -1.798894 0.160074
