# type = 2
# x0 = 0.1, y0 = 0, z0 = 0
# projection: horizontal = z, vertical = x
# z   x
2.530236 1.585917
2.527554 1.586854
2.524862 1.587790
2.522159 1.588723
2.519447 1.589656
2.516726 1.590587
2.513994 1.591517
2.511252 1.592446
2.508500 1.593373
2.505739 1.594298
2.502968 1.595222
2.500187 1.596145
2.497396 1.597067
2.494595 1.597987
2.491785 1.598905
2.488965 1.599822
2.486135 1.600738
2.483296 1.601653
2.480447 1.602566
2.477588 1.603477
2.474719 1.604387
2.471841 1.605296
2.468954 1.606204
2.466057 1.607109
2.463150 1.608014
2.460234 1.608917
2.457308 1.609819
2.454373 1.610719
2.451428 1.611618
2.448473 1.612515
2.445510 1.613411
2.442537 1.614306
2.439554 1.615199
2.436562 1.616091
2.433561 1.616981
2.430550 1.617870
2.427530 1.618757
2.424501 1.619643
2.421463 1.620528
2.418415 1.621411
2.415358 1.622293
2.412292 1.623173
2.409216 1.624052
2.406131 1.624929
2.403038 1.625805
2.399935 1.626680
2.396822 1.627553
2.393701 1.628424
2.390571 1.629294
2.387431 1.630163
2.384283 1.631030
2.381125 1.631896
2.377959 1.632761
2.374783 1.633623
2.371599 1.634485
2.368406 1.635345
2.365203 1.636203
2.361992 1.637060
2.358772 1.637916
2.355543 1.638770
2.352305 1.639623
2.349058 1.640474
2.345803 1.641324
2.342538 1.642172
2.339265 1.643019
2.335983 1.643864
2.332693 1.644708
2.329393 1.645551
2.326085 1.646392
2.322769 1.647231
2.319443 1.648069
2.316109 1.648906
2.312767 1.649741
2.309416 1.650574
2.306056 1.651406
2.302688 1.652237
2.299311 1.653066
2.295925 1.653894
2.292532 1.654720
2.289129 1.655545
2.285719 1.656368
2.282299 1.657189
2.278872 1.658010
2.275436 1.658828
2.271992 1.659645
2.268539 1.660461
2.265078 1.661275
2.261609 1.662088
2.258131 1.662899
2.254645 1.663709
2.251151 1.664517
2.247649 1.665324
2.244138 1.666129
2.240619 1.666933
2.237092 1.667735
2.233557 1.668536
2.230014 1.669335
2.226463 1.670132
2.222904 1.670928
2.219336 1.671723
2.215761 1.672516
2.212178 1.673308
2.208586 1.674098
2.204987 1.674886
2.201379 1.675673
2.197764 1.676459
2.194141 1.677243
2.190510 1.678025
2.186871 1.678806
