# t  theta1(rad)  omega1(rad/s)  theta2(rad)  omega2(rad/s)  theta3(rad)  omega3(rad/s)  theta4(rad)  omega4(rad/s)  theta5(rad)  omega5(rad/s)  theta6(rad)  omega6(rad/s)
0.810000 -0.409574 -0.882648 -0.750450 -1.936230 -0.926423 -3.224565 -0.779405 -4.703311 0.023677 -5.944152 2.231333 -2.717718
0.820000 -0.418204 -0.843192 -0.769475 -1.868647 -0.958273 -3.145208 -0.826088 -4.632753 -0.035766 -5.943559 2.203765 -2.796000
0.830000 -0.426436 -0.802980 -0.787818 -1.799746 -0.989321 -3.064076 -0.872050 -4.559115 -0.095175 -5.937141 2.175407 -2.875904
0.840000 -0.434261 -0.762051 -0.805466 -1.729601 -1.019549 -2.981293 -0.917261 -4.482601 -0.154490 -5.924928 2.146242 -2.957411
0.850000 -0.441674 -0.720444 -0.822406 -1.658279 -1.048942 -2.896978 -0.961693 -4.403412 -0.213654 -5.906973 2.116254 -3.040496
0.860000 -0.448668 -0.678198 -0.838628 -1.585851 -1.077484 -2.811246 -1.005321 -4.321752 -0.272610 -5.883358 2.085427 -3.125129
0.870000 -0.455236 -0.635353 -0.854120 -1.512382 -1.105163 -2.724207 -1.048120 -4.237820 -0.331303 -5.854186 2.053746 -3.211269
0.880000 -0.461373 -0.591947 -0.868872 -1.437939 -1.131964 -2.635968 -1.090070 -4.151812 -0.389676 -5.819585 2.021197 -3.298872
0.890000 -0.467074 -0.548022 -0.882876 -1.362585 -1.157878 -2.546630 -1.131150 -4.063921 -0.447677 -5.779705 1.987764 -3.387883
0.900000 -0.472332 -0.503617 -0.896121 -1.286381 -1.182894 -2.456289 -1.171343 -3.974332 -0.505253 -5.734715 1.953434 -3.478240
0.910000 -0.477144 -0.458771 -0.908601 -1.209390 -1.207001 -2.365036 -1.210632 -3.883226 -0.562355 -5.684804 1.918195 -3.569869
0.920000 -0.481506 -0.413526 -0.920307 -1.131669 -1.230192 -2.272958 -1.249003 -3.790777 -0.618933 -5.630176 1.882033 -3.662690
0.930000 -0.485414 -0.367922 -0.931232 -1.053275 -1.252458 -2.180134 -1.286443 -3.697151 -0.674943 -5.571051 1.844937 -3.756611
0.940000 -0.488864 -0.321998 -0.941370 -0.974265 -1.273792 -2.086640 -1.322942 -3.602507 -0.730340 -5.507659 1.806897 -3.851528
0.950000 -0.491853 -0.275795 -0.950715 -0.894692 -1.294188 -1.992546 -1.358491 -3.506995 -0.785083 -5.440243 1.767904 -3.947328
0.960000 -0.494379 -0.229354 -0.959262 -0.814608 -1.313641 -1.897919 -1.393080 -3.410758 -0.839132 -5.369053 1.727948 -4.043885
0.970000 -0.496439 -0.182715 -0.967006 -0.734066 -1.332145 -1.802817 -1.426704 -3.313929 -0.892452 -5.294344 1.687024 -4.141062
0.980000 -0.498032 -0.135918 -0.973942 -0.653115 -1.349696 -1.707297 -1.459357 -3.216632 -0.945008 -5.216376 1.645126 -4.238709
0.990000 -0.499157 -0.089004 -0.980067 -0.571804 -1.366290 -1.611409 -1.491035 -3.118983 -0.996770 -5.135411 1.602249 -4.336664
1.000000 -0.499812 -0.042013 -0.985377 -0.490180 -1.381923 -1.515200 -1.521736 -3.021090 -1.047708 -5.051710 1.558392 -4.434752
1.010000 -0.499997 0.005014 -0.989870 -0.408290 -1.396593 -1.418712 -1.551457 -2.923050 -1.097796 -4.965533 1.513554 -4.532784
1.020000 -0.499712 0.052036 -0.993542 -0.326181 -1.410297 -1.321982 -1.580197 -2.824955 -1.147011 -4.877136 1.467737 -4.630561
1.030000 -0.498957 0.099014 -0.996393 -0.243897 -1.423032 -1.225044 -1.607956 -2.726885 -1.195332 -4.786772 1.420944 -4.727870
1.040000 -0.497732 0.145906 -0.998420 -0.161482 -1.434797 -1.127929 -1.634735 -2.628913 -1.242740 -4.694685 1.373182 -4.824486
1.050000 -0.496039 0.192673 -0.999622 -0.078982 -1.445590 -1.030664 -1.660535 -2.531106 -1.289221 -4.601113 1.324458 -4.920171
1.060000 -0.493879 0.239273 -0.999999 0.003559 -1.455410 -0.933273 -1.685358 -2.433521 -1.334759 -4.506286 1.274782 -5.014678
1.070000 -0.491254 0.285667 -0.999551 0.086099 -1.464255 -0.835775 -1.709206 -2.336208 -1.379343 -4.410425 1.224169 -5.107750
1.080000 -0.488167 0.331814 -0.998277 0.168594 -1.472125 -0.738191 -1.732083 -2.239210 -1.422964 -4.313739 1.172633 -5.199119
1.090000 -0.484619 0.377673 -0.996179 0.250999 -1.479019 -0.640535 -1.753991 -2.142565 -1.465616 -4.216430 1.120193 -5.288509
1.100000 -0.480614 0.423204 -0.993258 0.333269 -1.484936 -0.542821 -1.774935 -2.046303 -1.507291 -4.118685 1.066870 -5.375640
1.110000 -0.476156 0.468368 -0.989515 0.415362 -1.489875 -0.445061 -1.794919 -1.950446 -1.547988 -4.020683 1.012689 -5.460224
1.120000 -0.471248 0.513122 -0.984951 0.497230 -1.493837 -0.347266 -1.813946 -1.855015 -1.587705 -3.922590 0.957675 -5.541971
1.130000 -0.465895 0.557429 -0.979571 0.578829 -1.496820 -0.249445 -1.832020 -1.760021 -1.626440 -3.824561 0.901860 -5.620590
1.140000 -0.460101 0.601247 -0.973376 0.660111 -1.498826 -0.151605 -1.849148 -1.665473 -1.664197 -3.726739 0.845275 -5.695790
1.150000 -0.453872 0.644536 -0.966370 0.741029 -1.499852 -0.053755 -1.865331 -1.571373 -1.700976 -3.629258 0.787956 -5.767283
1.160000 -0.447213 0.687257 -0.958557 0.821534 -1.499901 0.044099 -1.880577 -1.477720 -1.736783 -3.532238 0.729943 -5.834786
1.170000 -0.440129 0.729370 -0.949941 0.901575 -1.498970 0.141950 -1.894887 -1.384510 -1.771623 -3.435790 0.671275 -5.898024
1.180000 -0.432627 0.770836 -0.940527 0.981102 -1.497062 0.239791 -1.908268 -1.291731 -1.805501 -3.340013 0.611997 -5.956733
1.190000 -0.424714 0.811615 -0.930321 1.060061 -1.494175 0.337614 -1.920723 -1.199371 -1.838426 -3.244997 0.552156 -6.010660
1.200000 -0.416397 0.851669 -0.919328 1.138399 -1.490309 0.435412 -1.932257 -1.107415 -1.870404 -3.150822 0.491801 -6.059568
1.210000 -0.407684 0.890959 -0.907555 1.216059 -1.485466 0.533176 -1.942873 -1.015843 -1.901445 -3.057559 0.430982 -6.103238
1.220000 -0.398581 0.929447 -0.895009 1.292985 -1.479646 0.630895 -1.952575 -0.924632 -1.931559 -2.965269 0.369754 -6.141470
1.230000 -0.389097 0.967094 -0.881698 1.369117 -1.472849 0.728557 -1.961367 -0.833760 -1.960754 -2.874005 0.308172 -6.174087
1.240000 -0.379242 1.003864 -0.867629 1.444396 -1.465075 0.826149 -1.969251 -0.743199 -1.989042 -2.783813 0.246292 -6.200934
1.250000 -0.369023 1.039718 -0.852813 1.518757 -1.456326 0.923656 -1.976232 -0.652920 -2.016434 -2.694729 0.184173 -6.221884
1.260000 -0.358451 1.074622 -0.837258 1.592139 -1.446602 1.021059 -1.982310 -0.562894 -2.042941 -2.606783 0.121874 -6.236836
1.270000 -0.347534 1.108538 -0.820974 1.664474 -1.435905 1.118338 -1.987490 -0.473089 -2.068574 -2.520001 0.059456 -6.245717
1.280000 -0.336283 1.141432 -0.803972 1.735697 -1.424236 1.215468 -1.991773 -0.383471 -2.093345 -2.434398 -0.003020 -6.248485
1.290000 -0.324709 1.173269 -0.786264 1.805738 -1.411597 1.312425 -1.995160 -0.294007 -2.117266 -2.349986 -0.065493 -6.245125
1.300000 -0.312822 1.204015 -0.767861 1.874528 -1.397988 1.409177 -1.997653 -0.204662 -2.140348 -2.266773 -0.127902 -6.235655
1.310000 -0.300632 1.233638 -0.748777 1.941995 -1.383414 1.505691 -1.999254 -0.115400 -2.162605 -2.184758 -0.190186 -6.220120
1.320000 -0.288153 1.262104 -0.729026 2.008066 -1.367875 1.601929 -1.999962 -0.026185 -2.184047 -2.103938 -0.252284 -6.198595
1.330000 -0.275394 1.289384 -0.708621 2.072667 -1.351376 1.697851 -1.999777 0.063019 -2.204688 -2.024306 -0.314138 -6.171184
1.340000 -0.262369 1.315446 -0.687578 2.135725 -1.333920 1.793409 -1.998701 0.152249 -2.224538 -1.945849 -0.375689 -6.138017
1.350000 -0.249090 1.340262 -0.665912 2.197164 -1.315509 1.888554 -1.996732 0.241541 -2.243609 -1.868554 -0.436880 -6.099251
1.360000 -0.235568 1.363805 -0.643640 2.256907 -1.296150 1.983231 -1.993870 0.330931 -2.261912 -1.792400 -0.497656 -6.055066
1.370000 -0.221818 1.386046 -0.620780 2.314880 -1.275847 2.077380 -1.990113 0.420454 -2.279460 -1.717367 -0.557964 -6.005663
1.380000 -0.207852 1.406961 -0.597349 2.371006 -1.254604 2.170936 -1.985460 0.510145 -2.296263 -1.643430 -0.617753 -5.951263
