# circle in zeta-plane case 4
# xi0 = -0.1, eta0 = 0, r = 1.1
# xi   eta   xi/a   eta/a
-1.084428 0.490818 -1.084428 0.490818
-1.088673 0.482208 -1.088673 0.482208
-1.092844 0.473562 -1.092844 0.473562
-1.096939 0.464880 -1.096939 0.464880
-1.100957 0.456163 -1.100957 0.456163
-1.104900 0.447410 -1.104900 0.447410
-1.108766 0.438624 -1.108766 0.438624
-1.112555 0.429804 -1.112555 0.429804
-1.116267 0.420952 -1.116267 0.420952
-1.119902 0.412067 -1.119902 0.412067
-1.123459 0.403151 -1.123459 0.403151
-1.126938 0.394205 -1.126938 0.394205
-1.130339 0.385228 -1.130339 0.385228
-1.133662 0.376222 -1.133662 0.376222
-1.136906 0.367188 -1.136906 0.367188
-1.140070 0.358125 -1.140070 0.358125
-1.143156 0.349035 -1.143156 0.349035
-1.146162 0.339919 -1.146162 0.339919
-1.149089 0.330776 -1.149089 0.330776
-1.151935 0.321609 -1.151935 0.321609
-1.154702 0.312417 -1.154702 0.312417
-1.157388 0.303201 -1.157388 0.303201
-1.159993 0.293962 -1.159993 0.293962
-1.162518 0.284701 -1.162518 0.284701
-1.164962 0.275418 -1.164962 0.275418
-1.167325 0.266114 -1.167325 0.266114
-1.169607 0.256790 -1.169607 0.256790
-1.171807 0.247446 -1.171807 0.247446
-1.173926 0.238084 -1.173926 0.238084
-1.175962 0.228703 -1.175962 0.228703
-1.177917 0.219305 -1.177917 0.219305
-1.179790 0.209890 -1.179790 0.209890
-1.181580 0.200459 -1.181580 0.200459
-1.183289 0.191013 -1.183289 0.191013
-1.184914 0.181552 -1.184914 0.181552
-1.186457 0.172078 -1.186457 0.172078
-1.187917 0.162590 -1.187917 0.162590
-1.189295 0.153090 -1.189295 0.153090
-1.190589 0.143579 -1.190589 0.143579
-1.191801 0.134056 -1.191801 0.134056
-1.192929 0.124524 -1.192929 0.124524
-1.193974 0.114981 -1.193974 0.114981
-1.194936 0.105430 -1.194936 0.105430
-1.195814 0.095871 -1.195814 0.095871
-1.196609 0.086305 -1.196609 0.086305
-1.197320 0.076732 -1.197320 0.076732
-1.197948 0.067153 -1.197948 0.067153
-1.198492 0.057570 -1.198492 0.057570
-1.198953 0.047981 -1.198953 0.047981
-1.199330 0.038389 -1.199330 0.038389
-1.199623 0.028795 -1.199623 0.028795
-1.199832 0.019198 -1.199832 0.019198
-1.199958 0.009599 -1.199958 0.009599
-1.200000 0.000000 -1.200000 0.000000
-1.199958 -0.009599 -1.199958 -0.009599
-1.199832 -0.019198 -1.199832 -0.019198
-1.199623 -0.028795 -1.199623 -0.028795
-1.199330 -0.038389 -1.199330 -0.038389
-1.198953 -0.047981 -1.198953 -0.047981
-1.198492 -0.057570 -1.198492 -0.057570
-1.197948 -0.067153 -1.197948 -0.067153
-1.197320 -0.076732 -1.197320 -0.076732
