# Joukowski airfoil case 9
# a = 1, xi0 = -0.1, eta0 = 0.3, r = 1.14018
# x   y   x/a   y/a
-0.829959 0.708087 -0.829959 0.708087
-0.843396 0.705740 -0.843396 0.705740
-0.856790 0.703336 -0.856790 0.703336
-0.870140 0.700875 -0.870140 0.700875
-0.883445 0.698359 -0.883445 0.698359
-0.896705 0.695786 -0.896705 0.695786
-0.909919 0.693158 -0.909919 0.693158
-0.923086 0.690475 -0.923086 0.690475
-0.936206 0.687737 -0.936206 0.687737
-0.949277 0.684945 -0.949277 0.684945
-0.962300 0.682099 -0.962300 0.682099
-0.975274 0.679199 -0.975274 0.679199
-0.988197 0.676246 -0.988197 0.676246
-1.001070 0.673241 -1.001070 0.673241
-1.013891 0.670183 -1.013891 0.670183
-1.026660 0.667073 -1.026660 0.667073
-1.039376 0.663912 -1.039376 0.663912
-1.052039 0.660700 -1.052039 0.660700
-1.064648 0.657437 -1.064648 0.657437
-1.077202 0.654125 -1.077202 0.654125
-1.089700 0.650763 -1.089700 0.650763
-1.102143 0.647351 -1.102143 0.647351
-1.114529 0.643891 -1.114529 0.643891
-1.126857 0.640383 -1.126857 0.640383
-1.139128 0.636827 -1.139128 0.636827
-1.151340 0.633224 -1.151340 0.633224
-1.163493 0.629574 -1.163493 0.629574
-1.175586 0.625879 -1.175586 0.625879
-1.187618 0.622137 -1.187618 0.622137
-1.199589 0.618351 -1.199589 0.618351
-1.211499 0.614520 -1.211499 0.614520
-1.223346 0.610645 -1.223346 0.610645
-1.235130 0.606726 -1.235130 0.606726
-1.246851 0.602765 -1.246851 0.602765
-1.258507 0.598761 -1.258507 0.598761
-1.270098 0.594716 -1.270098 0.594716
-1.281624 0.590630 -1.281624 0.590630
-1.293084 0.586502 -1.293084 0.586502
-1.304478 0.582335 -1.304478 0.582335
-1.315804 0.578129 -1.315804 0.578129
-1.327062 0.573884 -1.327062 0.573884
-1.338252 0.569600 -1.338252 0.569600
-1.349372 0.565279 -1.349372 0.565279
-1.360423 0.560921 -1.360423 0.560921
-1.371404 0.556527 -1.371404 0.556527
-1.382314 0.552097 -1.382314 0.552097
-1.393153 0.547632 -1.393153 0.547632
-1.403919 0.543132 -1.403919 0.543132
-1.414614 0.538599 -1.414614 0.538599
-1.425235 0.534033 -1.425235 0.534033
-1.435782 0.529434 -1.435782 0.529434
-1.446255 0.524804 -1.446255 0.524804
-1.456654 0.520142 -1.456654 0.520142
-1.466977 0.515450 -1.466977 0.515450
-1.477224 0.510729 -1.477224 0.510729
-1.487395 0.505978 -1.487395 0.505978
-1.497488 0.501199 -1.497488 0.501199
-1.507505 0.496393 -1.507505 0.496393
-1.517443 0.491559 -1.517443 0.491559
-1.527302 0.486700 -1.527302 0.486700
-1.537082 0.481815 -1.537082 0.481815
-1.546783 0.476905 -1.546783 0.476905
-1.556403 0.471972 -1.556403 0.471972
-1.565943 0.467015 -1.565943 0.467015
-1.575402 0.462035 -1.575402 0.462035
-1.584778 0.457034 -1.584778 0.457034
-1.594072 0.452012 -1.594072 0.452012
-1.603284 0.446970 -1.603284 0.446970
-1.612412 0.441908 -1.612412 0.441908
-1.621456 0.436828 -1.621456 0.436828
-1.630416 0.431729 -1.630416 0.431729
-1.639291 0.426614 -1.639291 0.426614
-1.648081 0.421482 -1.648081 0.421482
-1.656785 0.416334 -1.656785 0.416334
-1.665402 0.411172 -1.665402 0.411172
-1.673933 0.405996 -1.673933 0.405996
-1.682376 0.400807 -1.682376 0.400807
-1.690732 0.395605 -1.690732 0.395605
-1.698999 0.390392 -1.698999 0.390392
-1.707178 0.385168 -1.707178 0.385168
-1.715267 0.379934 -1.715267 0.379934
-1.723267 0.374691 -1.723267 0.374691
-1.731176 0.369439 -1.731176 0.369439
-1.738995 0.364181 -1.738995 0.364181
-1.746722 0.358916 -1.746722 0.358916
-1.754358 0.353645 -1.754358 0.353645
-1.761902 0.348369 -1.761902 0.348369
-1.769354 0.343089 -1.769354 0.343089
-1.776712 0.337806 -1.776712 0.337806
-1.783977 0.332520 -1.783977 0.332520
-1.791148 0.327234 -1.791148 0.327234
-1.798225 0.321946 -1.798225 0.321946
-1.805207 0.316659 -1.805207 0.316659
-1.812094 0.311373 -1.812094 0.311373
-1.818886 0.306089 -1.818886 0.306089
-1.825581 0.300808 -1.825581 0.300808
-1.832180 0.295531 -1.832180 0.295531
-1.838681 0.290258 -1.838681 0.290258
-1.845086 0.284991 -1.845086 0.284991
-1.851392 0.279730 -1.851392 0.279730
-1.857601 0.274477 -1.857601 0.274477
-1.863710 0.269232 -1.863710 0.269232
-1.869721 0.263996 -1.869721 0.263996
-1.875632 0.258771 -1.875632 0.258771
-1.881444 0.253556 -1.881444 0.253556
-1.887154 0.248353 -1.887154 0.248353
-1.892765 0.243163 -1.892765 0.243163
-1.898274 0.237986 -1.898274 0.237986
-1.903681 0.232824 -1.903681 0.232824
-1.908986 0.227678 -1.908986 0.227678
-1.914189 0.222548 -1.914189 0.222548
-1.919290 0.217435 -1.919290 0.217435
-1.924287 0.212341 -1.924287 0.212341
-1.929180 0.207266 -1.929180 0.207266
-1.933970 0.202211 -1.933970 0.202211
-1.938655 0.197177 -1.938655 0.197177
-1.943235 0.192165 -1.943235 0.192165
-1.947710 0.187176 -1.947710 0.187176
-1.952079 0.182211 -1.952079 0.182211
-1.956342 0.177271 -1.956342 0.177271
-1.960499 0.172356 -1.960499 0.172356
-1.964549 0.167468 -1.964549 0.167468
-1.968492 0.162608 -1.968492 0.162608
-1.972327 0.157776 -1.972327 0.157776
-1.976055 0.152974 -1.976055 0.152974
-1.979674 0.148202 -1.979674 0.148202
-1.983184 0.143461 -1.983184 0.143461
-1.986585 0.138753 -1.986585 0.138753
-1.989876 0.134078 -1.989876 0.134078
-1.993057 0.129437 -1.993057 0.129437
-1.996128 0.124831 -1.996128 0.124831
-1.999088 0.120262 -1.999088 0.120262
-2.001938 0.115729 -2.001938 0.115729
-2.004675 0.111234 -2.004675 0.111234
-2.007301 0.106778 -2.007301 0.106778
-2.009814 0.102361 -2.009814 0.102361
-2.012214 0.097986 -2.012214 0.097986
-2.014502 0.093652 -2.014502 0.093652
-2.016675 0.089360 -2.016675 0.089360
-2.018735 0.085113 -2.018735 0.085113
-2.020681 0.080909 -2.020681 0.080909
-2.022512 0.076751 -2.022512 0.076751
-2.024227 0.072639 -2.024227 0.072639
-2.025827 0.068574 -2.025827 0.068574
-2.027312 0.064558 -2.027312 0.064558
-2.028679 0.060590 -2.028679 0.060590
-2.029930 0.056672 -2.029930 0.056672
-2.031064 0.052805 -2.031064 0.052805
-2.032081 0.048990 -2.032081 0.048990
-2.032979 0.045227 -2.032979 0.045227
-2.033759 0.041518 -2.033759 0.041518
-2.034420 0.037864 -2.034420 0.037864
-2.034962 0.034264 -2.034962 0.034264
-2.035384 0.030721 -2.035384 0.030721
-2.035686 0.027235 -2.035686 0.027235
-2.035867 0.023807 -2.035867 0.023807
-2.035928 0.020438 -2.035928 0.020438
-2.035867 0.017128 -2.035867 0.017128
