# circle in zeta-plane case 9
# xi0 = -0.1, eta0 = 0.3, r = 1.14018
# xi   eta   xi/a   eta/a
-1.111348 0.826474 -1.111348 0.826474
-1.115904 0.817629 -1.115904 0.817629
-1.120382 0.808744 -1.120382 0.808744
-1.124783 0.799820 -1.124783 0.799820
-1.129106 0.790858 -1.129106 0.790858
-1.133350 0.781859 -1.133350 0.781859
-1.137515 0.772823 -1.137515 0.772823
-1.141602 0.763751 -1.141602 0.763751
-1.145609 0.754644 -1.145609 0.754644
-1.149537 0.745502 -1.149537 0.745502
-1.153385 0.736326 -1.153385 0.736326
-1.157152 0.727117 -1.157152 0.727117
-1.160839 0.717876 -1.160839 0.717876
-1.164445 0.708602 -1.164445 0.708602
-1.167971 0.699298 -1.167971 0.699298
-1.171414 0.689963 -1.171414 0.689963
-1.174777 0.680598 -1.174777 0.680598
-1.178057 0.671205 -1.178057 0.671205
-1.181255 0.661783 -1.181255 0.661783
-1.184371 0.652334 -1.184371 0.652334
-1.187405 0.642857 -1.187405 0.642857
-1.190355 0.633355 -1.190355 0.633355
-1.193223 0.623827 -1.193223 0.623827
-1.196007 0.614275 -1.196007 0.614275
-1.198708 0.604699 -1.198708 0.604699
-1.201325 0.595099 -1.201325 0.595099
-1.203858 0.585477 -1.203858 0.585477
-1.206307 0.575833 -1.206307 0.575833
-1.208672 0.566169 -1.208672 0.566169
-1.210953 0.556484 -1.210953 0.556484
-1.213149 0.546779 -1.213149 0.546779
-1.215260 0.537056 -1.215260 0.537056
-1.217286 0.527314 -1.217286 0.527314
-1.219227 0.517556 -1.219227 0.517556
-1.221083 0.507780 -1.221083 0.507780
-1.222854 0.497989 -1.222854 0.497989
-1.224539 0.488183 -1.224539 0.488183
-1.226138 0.478363 -1.226138 0.478363
-1.227652 0.468529 -1.227652 0.468529
-1.229079 0.458682 -1.229079 0.458682
-1.230421 0.448823 -1.230421 0.448823
-1.231677 0.438952 -1.231677 0.438952
-1.232846 0.429072 -1.232846 0.429072
-1.233929 0.419181 -1.233929 0.419181
-1.234926 0.409281 -1.234926 0.409281
-1.235837 0.399373 -1.235837 0.399373
-1.236661 0.389457 -1.236661 0.389457
-1.237398 0.379535 -1.237398 0.379535
-1.238049 0.369606 -1.238049 0.369606
-1.238613 0.359672 -1.238613 0.359672
-1.239090 0.349734 -1.239090 0.349734
-1.239481 0.339792 -1.239481 0.339792
-1.239785 0.329846 -1.239785 0.329846
-1.240002 0.319899 -1.240002 0.319899
-1.240132 0.309950 -1.240132 0.309950
-1.240175 0.300000 -1.240175 0.300000
-1.240132 0.290050 -1.240132 0.290050
-1.240002 0.280101 -1.240002 0.280101
-1.239785 0.270154 -1.239785 0.270154
-1.239481 0.260208 -1.239481 0.260208
-1.239090 0.250266 -1.239090 0.250266
-1.238613 0.240328 -1.238613 0.240328
-1.238049 0.230394 -1.238049 0.230394
-1.237398 0.220465 -1.237398 0.220465
-1.236661 0.210543 -1.236661 0.210543
-1.235837 0.200627 -1.235837 0.200627
