# Joukowski airfoil case 6
# a = 1, xi0 = -0.3, eta0 = 0, r = 1.3
# x   y   x/a   y/a
-1.152299 0.624055 -1.152299 0.624055
-1.166774 0.623666 -1.166774 0.623666
-1.181174 0.623200 -1.181174 0.623200
-1.195499 0.622657 -1.195499 0.622657
-1.209748 0.622037 -1.209748 0.622037
-1.223921 0.621341 -1.223921 0.621341
-1.238016 0.620567 -1.238016 0.620567
-1.252033 0.619717 -1.252033 0.619717
-1.265972 0.618790 -1.265972 0.618790
-1.279831 0.617786 -1.279831 0.617786
-1.293611 0.616706 -1.293611 0.616706
-1.307311 0.615550 -1.307311 0.615550
-1.320929 0.614317 -1.320929 0.614317
-1.334467 0.613008 -1.334467 0.613008
-1.347922 0.611624 -1.347922 0.611624
-1.361294 0.610163 -1.361294 0.610163
-1.374583 0.608627 -1.374583 0.608627
-1.387788 0.607016 -1.387788 0.607016
-1.400909 0.605329 -1.400909 0.605329
-1.413944 0.603568 -1.413944 0.603568
-1.426894 0.601732 -1.426894 0.601732
-1.439758 0.599821 -1.439758 0.599821
-1.452535 0.597836 -1.452535 0.597836
-1.465225 0.595777 -1.465225 0.595777
-1.477827 0.593644 -1.477827 0.593644
-1.490341 0.591437 -1.490341 0.591437
-1.502765 0.589158 -1.502765 0.589158
-1.515100 0.586805 -1.515100 0.586805
-1.527345 0.584380 -1.527345 0.584380
-1.539499 0.581883 -1.539499 0.581883
-1.551562 0.579314 -1.551562 0.579314
-1.563533 0.576672 -1.563533 0.576672
-1.575412 0.573960 -1.575412 0.573960
-1.587198 0.571177 -1.587198 0.571177
-1.598891 0.568323 -1.598891 0.568323
-1.610490 0.565399 -1.610490 0.565399
-1.621995 0.562405 -1.621995 0.562405
-1.633404 0.559341 -1.633404 0.559341
-1.644719 0.556209 -1.644719 0.556209
-1.655937 0.553007 -1.655937 0.553007
-1.667059 0.549738 -1.667059 0.549738
-1.678084 0.546401 -1.678084 0.546401
-1.689012 0.542996 -1.689012 0.542996
-1.699841 0.539524 -1.699841 0.539524
-1.710573 0.535986 -1.710573 0.535986
-1.721205 0.532382 -1.721205 0.532382
-1.731738 0.528712 -1.731738 0.528712
-1.742171 0.524977 -1.742171 0.524977
-1.752504 0.521177 -1.752504 0.521177
-1.762735 0.517313 -1.762735 0.517313
-1.772866 0.513386 -1.772866 0.513386
-1.782895 0.509395 -1.782895 0.509395
-1.792821 0.505342 -1.792821 0.505342
-1.802645 0.501227 -1.802645 0.501227
-1.812366 0.497050 -1.812366 0.497050
-1.821983 0.492812 -1.821983 0.492812
-1.831496 0.488513 -1.831496 0.488513
-1.840905 0.484154 -1.840905 0.484154
-1.850209 0.479736 -1.850209 0.479736
-1.859407 0.475259 -1.859407 0.475259
-1.868500 0.470724 -1.868500 0.470724
-1.877486 0.466131 -1.877486 0.466131
-1.886366 0.461481 -1.886366 0.461481
-1.895139 0.456775 -1.895139 0.456775
-1.903805 0.452012 -1.903805 0.452012
-1.912362 0.447194 -1.912362 0.447194
-1.920812 0.442321 -1.920812 0.442321
-1.929152 0.437395 -1.929152 0.437395
-1.937384 0.432414 -1.937384 0.432414
-1.945507 0.427381 -1.945507 0.427381
-1.953519 0.422296 -1.953519 0.422296
-1.961422 0.417158 -1.961422 0.417158
-1.969213 0.411970 -1.969213 0.411970
-1.976894 0.406732 -1.976894 0.406732
-1.984464 0.401444 -1.984464 0.401444
-1.991922 0.396107 -1.991922 0.396107
-1.999268 0.390721 -1.999268 0.390721
-2.006502 0.385288 -2.006502 0.385288
-2.013623 0.379808 -2.013623 0.379808
-2.020632 0.374282 -2.020632 0.374282
-2.027526 0.368710 -2.027526 0.368710
-2.034307 0.363093 -2.034307 0.363093
-2.040975 0.357431 -2.040975 0.357431
-2.047528 0.351727 -2.047528 0.351727
-2.053966 0.345979 -2.053966 0.345979
-2.060289 0.340189 -2.060289 0.340189
-2.066497 0.334358 -2.066497 0.334358
-2.072590 0.328486 -2.072590 0.328486
-2.078567 0.322575 -2.078567 0.322575
-2.084428 0.316624 -2.084428 0.316624
-2.090172 0.310634 -2.090172 0.310634
-2.095800 0.304607 -2.095800 0.304607
-2.101310 0.298543 -2.101310 0.298543
-2.106704 0.292442 -2.106704 0.292442
-2.111980 0.286306 -2.111980 0.286306
-2.117139 0.280136 -2.117139 0.280136
-2.122179 0.273931 -2.122179 0.273931
-2.127102 0.267693 -2.127102 0.267693
-2.131906 0.261422 -2.131906 0.261422
-2.136591 0.255120 -2.136591 0.255120
-2.141157 0.248787 -2.141157 0.248787
-2.145604 0.242424 -2.145604 0.242424
-2.149932 0.236031 -2.149932 0.236031
-2.154141 0.229610 -2.154141 0.229610
-2.158230 0.223161 -2.158230 0.223161
-2.162198 0.216685 -2.162198 0.216685
-2.166047 0.210182 -2.166047 0.210182
-2.169776 0.203654 -2.169776 0.203654
-2.173383 0.197102 -2.173383 0.197102
-2.176871 0.190525 -2.176871 0.190525
-2.180237 0.183926 -2.180237 0.183926
-2.183483 0.177304 -2.183483 0.177304
-2.186607 0.170661 -2.186607 0.170661
-2.189610 0.163997 -2.189610 0.163997
-2.192491 0.157314 -2.192491 0.157314
-2.195251 0.150611 -2.195251 0.150611
-2.197890 0.143890 -2.197890 0.143890
-2.200406 0.137152 -2.200406 0.137152
-2.202800 0.130397 -2.202800 0.130397
-2.205073 0.123626 -2.205073 0.123626
-2.207223 0.116841 -2.207223 0.116841
-2.209251 0.110041 -2.209251 0.110041
-2.211156 0.103228 -2.211156 0.103228
-2.212939 0.096402 -2.212939 0.096402
-2.214599 0.089565 -2.214599 0.089565
-2.216137 0.082717 -2.216137 0.082717
-2.217552 0.075859 -2.217552 0.075859
-2.218844 0.068992 -2.218844 0.068992
-2.220013 0.062117 -2.220013 0.062117
-2.221060 0.055234 -2.221060 0.055234
-2.221983 0.048344 -2.221983 0.048344
-2.222783 0.041449 -2.222783 0.041449
-2.223461 0.034548 -2.223461 0.034548
-2.224015 0.027644 -2.224015 0.027644
-2.224446 0.020736 -2.224446 0.020736
-2.224754 0.013825 -2.224754 0.013825
-2.224938 0.006913 -2.224938 0.006913
-2.225000 0.000000 -2.225000 0.000000
-2.224938 -0.006913 -2.224938 -0.006913
-2.224754 -0.013825 -2.224754 -0.013825
-2.224446 -0.020736 -2.224446 -0.020736
-2.224015 -0.027644 -2.224015 -0.027644
-2.223461 -0.034548 -2.223461 -0.034548
-2.222783 -0.041449 -2.222783 -0.041449
-2.221983 -0.048344 -2.221983 -0.048344
-2.221060 -0.055234 -2.221060 -0.055234
-2.220013 -0.062117 -2.220013 -0.062117
-2.218844 -0.068992 -2.218844 -0.068992
-2.217552 -0.075859 -2.217552 -0.075859
-2.216137 -0.082717 -2.216137 -0.082717
-2.214599 -0.089565 -2.214599 -0.089565
-2.212939 -0.096402 -2.212939 -0.096402
-2.211156 -0.103228 -2.211156 -0.103228
-2.209251 -0.110041 -2.209251 -0.110041
-2.207223 -0.116841 -2.207223 -0.116841
-2.205073 -0.123626 -2.205073 -0.123626
-2.202800 -0.130397 -2.202800 -0.130397
-2.200406 -0.137152 -2.200406 -0.137152
-2.197890 -0.143890 -2.197890 -0.143890
-2.195251 -0.150611 -2.195251 -0.150611
-2.192491 -0.157314 -2.192491 -0.157314
-2.189610 -0.163997 -2.189610 -0.163997
-2.186607 -0.170661 -2.186607 -0.170661
-2.183483 -0.177304 -2.183483 -0.177304
-2.180237 -0.183926 -2.180237 -0.183926
